Case Number,Casecode,Opened,Closed,Charges,Disposition
19-078,APCON,3/18/2019,4/1/2019,FELONY,Dismissal
18-278,APCON,11/14/2018,2/21/2019,FELONY,Plea
18-292,APCON,11/14/2018,2/21/2019,FELONY,Plea
18-236,APCON,10/1/2018,2/7/2019,FELONY,Plea
18-216,APCON,9/11/2018,2/21/2019,FELONY,Plea
18-324,APCON,7/26/2018,3/7/2019,FELONY,Plea
18-268,APCON,11/2/2018,12/10/2019,FELONY,Plea
19-087,APCON,3/26/2019,4/10/2019,FELONY,other
18-143,APCON,6/8/2018,1/8/2019,FELONY,plea
19-107,APCON,5/1/2019,2/1/2021,FELONY,Plea
19-132,APCON,5/8/2019,10/8/2020,FELONY,Plea
17-367-1,APCON,12/27/2017,00/00/0000,FELONY,Plea
17-368,APCON,12/13/2018,00/00/0000,FELONY,Plea
18-117,APCON,4/25/2018,00/00/0000,FELONY,Plea
17-396,APCON,12/19/2017,00/00/0000,FELONY,
18-179,APCON,7/20/2018,10/4/2018,FELONY,Plea
17-332-1,APCON,11/9/2017,00/00/0000,FELONY,Plea
17-344,APCON,11/29/2017,00/00/0000,FELONY,Plea
18-004,APCON,1/9/2018,10/11/2018,FELONY,Plea
18-072-4,APCON,3/16/2018,00/00/0000,FELONY,Plea
18-091,APCON,3/15/2018,00/00/0000,FELONY,Plea
18-063,APCON,3/16/2018,00/00/0000,FELONY,Plea
18-088,APCON,3/27/2018,00/00/0000,FELONY,Plea
18-089,APCON,3/27/2018,00/00/0000,FELONY,Plea
18-003,APCON,1/10/2018,00/00/0000,FELONY,Plea
18-067,APCON,3/9/2018,00/00/0000,FELONY,plea
18-154-1,APCON,7/5/2018,00/00/0000,FELONY,Plea
18-126,APCON,5/9/2018,8/23/2018,FELONY,Plea
18-155,APCON,7/6/2018,00/00/0000,FELONY,Other
17-312-1,APCON,11/1/2017,00/00/0000,FELONY,Plea
18-240,APCON,10/10/2018,00/00/0000,FELONY,Plea
17-379,APCON,12/7/2017,00/00/0000,FELONY,Other
18-130,APCON,5/17/2018,00/00/0000,FELONY,Plea
17-381,APCON,12/7/2017,00/00/0000,FELONY,Plea
17-370,APCON,1/2/2018,00/00/0000,FELONY,Other
17-335,APCON,11/14/2018,00/00/0000,FELONY,Other
17-342,APCON,11/21/2017,00/00/0000,FELONY,Plea
18-194,APCON,8/7/2018,00/00/0000,FELONY,Other
17-352,APCON,11/21/2017,00/00/0000,FELONY,Plea
17-352-2,APCON,11/21/2017,00/00/0000,FELONY,Plea
19-140,APCON,5/16/2019,5/16/2019,FELONY,Other
18-059,APCON,3/2/2018,00/00/0000,FELONY,Plea
17-360,APCON,10/30/2017,00/00/0000,FELONY,Plea
18-079,APCON,3/20/2018,00/00/0000,FELONY,Dismissed
17-383,APCON,12/22/2017,00/00/0000,FELONY,Plea
17-353-3,APCON,11/9/2017,00/00/0000,FELONY,Plea
18-157-2,APCON,7/11/2018,00/00/0000,FELONY,Plea
19-145,APCON,5/21/2019,5/23/2019,FELONY,Other
18-011-4,APCON,4/16/2018,00/00/0000,FELONY,Plea
18-012,APCON,1/8/2018,00/00/0000,FELONY,Plea
17-374,APCON,12/29/2017,00/00/0000,FELONY,Plea
18-191,APCON,5/22/2018,00/00/0000,FELONY,Plea
18-202-1,APCON,8/28/2018,00/00/0000,FELONY,Plea
19-151,APCON,5/24/2019,12/19/2019,FELONY,Conflict
18-036,APCON,2/13/2018,00/00/0000,FELONY,Plea
18-002-3,APCON,1/5/2018,00/00/0000,FELONY,Other
18-041,APCON,2/15/2018,00/00/0000,FELONY,Plea
18-102-5,APCON,4/19/2018,00/00/0000,FELONY,Plea
17-301-1,APCON,11/8/2017,00/00/0000,FELONY,Plea
18-166,APCON,7/11/2018,00/00/0000,FELONY,Dismissed
17-336-3,APCON,7/17/2018,00/00/0000,FELONY,Plea
17-361,APCON,12/5/2017,00/00/0000,FELONY,Plea
18-168,APCON,7/13/2017,00/00/0000,FELONY,Dismissed
18-138-2,APCON,6/1/2018,00/00/0000,FELONY,Plea
18-138-3,APCON,6/1/2018,00/00/0000,FELONY,Dismissed
19-157,APCON,5/29/2019,00/00/0000,FELONY,Other
19-200,APCON,6/11/2019,5/11/2020,FELONY,Plea
19-169,APCON,6/17/2019,9/17/2019,FELONY,Plea
19-186,APCON,6/21/2019,8/15/2019,FELONY,Plea
19-187,APCON,6/25/2019,10/22/2019,FELONY,Plea
19-197,APCON,7/5/2019,3/5/2020,FELONY,Plea
19-205,APCON,7/10/2019,7/11/2019,FELONY,Other
19-208,APCON,7/9/2019,5/4/2020,FELONY,Plea
19-210,APCON,7/12/2019,11/19/2019,FELONY,Trial
19-215,APCON,7/16/2019,9/19/2019,FELONY,Plea
19-225,APCON,7/29/2019,8/29/2019,FELONY,Plea
19-237,APCON,8/6/2019,12/16/2019,FELONY,Plea
21-024,APCON,1/1/2021,3/29/2021,FELONY,Plea
19-252,APCON,8/19/2019,10/24/2019,FELONY,Plea
19-256,APCON,8/20/2019,8/22/2019,FELONY,Other
19-264,APCON,8/26/2019,10/7/2019,FELONY,Dismissal
19-266,APCON,8/27/2019,9/14/2020,FELONY,Other
19-267,APCON,8/27/2019,9/8/2020,FELONY,Other
19-285,APCON,9/4/2019,6/1/2020,FELONY,Plea
19-286,APCON,9/4/2019,6/1/2020,FELONY,Plea
19-289,APCON,9/6/2019,6/1/2020,FELONY,Plea
19-292,APCON,9/9/2019,9/23/2019,FELONY,Other
19-298,APCON,9/17/2019,4/20/2020,FELONY,Plea
19-304,APCON,9/20/2019,10/28/2019,FELONY,Plea
19-319,APCON,9/27/2019,5/27/2020,FELONY,Plea
19-334,APCON,10/23/2019,7/14/2020,FELONY,Plea
20-160,APCON,6/24/2020,7/1/2020,FELONY,Other
19-354,APCON,10/31/2019,1/16/2020,FELONY,Plea
19-367,APCON,11/18/2019,1/1/2020,FELONY,Dismissed
19-372,APCON,11/22/2019,11/2/2020,FELONY,Plea
19-374,APCON,11/22/2019,9/3/2020,FELONY,Plea
19-376,APCON,11/27/2019,7/17/2020,FELONY,Plea
19-380,APCON,12/5/2019,6/20/2022,FELONY,Trial
19-386,APCON,12/9/2019,1/21/2020,FELONY,Plea
20-084,APCON,2/5/2020,9/14/2020,FELONY,Plea
19-398,APCON,12/16/2019,7/9/2020,FELONY,Plea
19-402,APCON,12/17/2019,12/17/2019,FELONY,Other
19-408,APCON,12/20/2019,1/14/2020,FELONY,Plea
19-409,APCON,12/23/2019,4/20/2020,FELONY,
20-013,APCON,1/10/2020,5/17/2021,FELONY,Dismissal
20-023,APCON,1/23/2020,10/16/2020,FELONY,Plea
20-031,APCON,1/29/2020,2/10/2020,FELONY,Plea
20-036,APCON,2/3/2020,4/1/2020,FELONY,Plea
20-050,APCON,2/19/2020,00/00/0000,FELONY,
20-053,APCON,2/19/2020,2/23/2021,FELONY,Plea
20-054,APCON,2/13/2020,2/20/2020,FELONY,Other
20-056,APCON,2/24/2020,7/1/2021,FELONY,Plea
20-057,APCON,2/24/2020,3/19/2020,FELONY,Plea
20-058,APCON,2/24/2020,6/20/2022,FELONY,Dismissal
20-067,APCON,2/27/2020,3/19/2020,FELONY,Other
20-087,APCON,3/13/2020,5/4/2020,FELONY,Plea
20-092,APCON,3/16/2020,7/9/2020,FELONY,Plea
20-098,APCON,3/25/2020,11/2/2020,FELONY,Plea
20-101,APCON,1/16/2020,3/9/2020,FELONY,Plea
20-103,APCON,4/9/2020,6/4/2020,FELONY,Plea
20-111,APCON,4/23/2020,9/8/2020,FELONY,Other
20-112,APCON,4/23/2020,12/31/2020,FELONY,Dismissed
20-113,APCON,4/30/2020,7/13/2020,FELONY,Dismissed
20-114,APCON,4/30/2020,6/10/2021,FELONY,Plea
20-120,APCON,5/22/2020,6/26/2020,FELONY,Dismissal
20-121,APCON,5/22/2020,6/4/2020,FELONY,Other
20-123,APCON,5/21/2020,8/3/2020,FELONY,Plea
20-124,APCON,5/21/2020,6/8/2020,FELONY,Plea
20-131,APCON,5/26/2020,6/29/2020,FELONY,Other
20-136,APCON,6/8/2020,2/22/2021,FELONY,Plea
20-147,APCON,6/24/2020,9/9/2021,FELONY,Plea
20-149,APCON,6/30/2020,9/10/2020,FELONY,Plea
20-153,APCON,6/30/2020,3/3/2021,FELONY,Plea
20-165,APCON,7/15/2020,9/10/2020,FELONY,Plea
20-168,APCON,7/21/2020,9/24/2020,FELONY,Dismissal
20-177,APCON,7/21/2020,1/4/2021,FELONY,Plea
20-178,APCON,7/21/2020,1/4/2021,FELONY,Plea
20-179,APCON,7/17/2020,5/23/2024,FELONY,Plea
20-180,APCON,7/24/2020,10/26/2020,FELONY,Dismissed
20-194,APCON,7/29/2020,8/13/2020,FELONY,Other
20-212,APCON,8/17/2020,3/23/2021,FELONY,Plea
20-213,APCON,8/17/2020,3/23/2021,FELONY,Plea
20-214,APCON,8/19/2020,9/2/2020,FELONY,Plea
20-215,APCON,8/17/2020,9/2/2020,FELONY,Plea
20-216,APCON,8/17/2020,9/2/2020,FELONY,Plea
20-219,APCON,8/21/2020,8/31/2023,FELONY,Plea
20-220,APCON,8/19/2020,12/31/2020,FELONY,Plea
20-221,APCON,8/21/2020,3/23/2021,FELONY,Plea
20-235,APCON,9/15/2020,5/18/2021,FELONY,Plea
20-240,APCON,9/10/2020,10/29/2020,FELONY,Other
20-241,APCON,9/18/2020,2/16/2021,FELONY,Plea
20-243,APCON,9/23/2020,11/18/2020,FELONY,Dismissal
20-244,APCON,9/23/2020,12/10/2021,FELONY,Plea
20-245,APCON,9/24/2020,7/12/2021,FELONY,Plea
20-248,APCON,10/2/2020,1/6/2022,FELONY,Plea
20-255,APCON,10/5/2020,2/8/2021,FELONY,Plea
20-259,APCON,10/6/2020,10/13/2020,FELONY,Dismissal
20-260,APCON,10/5/2020,10/29/2020,FELONY,Other
20-261,APCON,10/8/2020,12/31/2020,FELONY,Plea
20-262,APCON,10/9/2020,1/11/2021,FELONY,Plea
20-273,APCON,10/14/2020,6/21/2021,FELONY,Plea
20-281,APCON,10/20/2020,9/8/2022,FELONY,Dismissed
20-288,APCON,10/23/2020,9/21/2023,FELONY,Plea
20-294,APCON,10/27/2020,11/10/2020,FELONY,Other
20-296,APCON,10/27/2020,3/1/2021,FELONY,Plea
20-303,APCON,11/3/2020,11/5/2020,FELONY,Other
20-316,APCON,11/10/2020,2/8/2021,FELONY,Dismissal
20-318,APCON,12/2/2020,3/18/2021,FELONY,Plea
20-322,APCON,12/7/2020,1/11/2021,FELONY,Other
20-323,APCON,12/3/2020,1/22/2021,FELONY,Plea
20-326,APCON,12/11/2020,12/15/2021,FELONY,Plea
20-329,APCON,12/15/2020,12/2/2021,FELONY,Plea
20-337,APCON,12/22/2020,1/22/2021,FELONY,Plea
20-340,APCON,12/30/2020,5/19/2021,FELONY,Plea
21-002,APCON,1/5/2021,3/30/2021,FELONY,Plea
21-008,APCON,1/12/2021,12/17/2021,FELONY,Dismissal
21-009,APCON,1/20/2021,6/3/2021,FELONY,Plea
21-010,APCON,1/12/2021,5/16/2023,FELONY,Dismissal
21-016,APCON,2/2/2021,7/12/2021,FELONY,Plea
21-023,CRI,2/9/2021,00/00/0000,FELONY,
21-027,APCON,2/9/2021,7/1/2021,FELONY,Plea
21-028,APCON,2/9/2021,7/12/2021,FELONY,Plea
21-031,APCON,2/16/2021,5/4/2021,FELONY,Plea
21-032,CRI,2/17/2021,00/00/0000,FELONY,
21-033,APCON,2/17/2021,5/3/2021,FELONY,Plea
21-037,APCON,2/22/2021,5/20/2021,FELONY,Plea
21-038,APCON,2/23/2021,3/8/2021,FELONY,Other
21-046,CRI,3/8/2021,00/00/0000,FELONY,
21-050,APCON,3/12/2021,7/8/2021,FELONY,Plea
21-054,APCON,3/15/2021,10/29/2021,FELONY,Plea
21-060,APCON,3/16/2021,6/17/2021,FELONY,Plea
21-061,APCON,3/17/2021,7/22/2021,FELONY,Plea
21-063,APCON,3/23/2021,8/5/2021,FELONY,Plea
21-065,APCON,3/24/2021,6/24/2021,FELONY,Plea
21-071,APCON,3/30/2021,6/17/2021,FELONY,Dismissal
21-081,APCON,4/6/2021,7/6/2021,FELONY,Other
21-085,APCON,4/13/2021,9/23/2021,FELONY,Plea
18-181,APCON,7/20/2018,8/2/2018,FELONY,Plea
18-162,APCON,7/10/2018,7/30/2018,FELONY,Other
21-096,APCON,4/22/2021,7/12/2021,FELONY,Plea
21-108,APCON,5/5/2021,10/10/2023,FELONY,Trial
21-115,APCON,5/12/2021,11/2/2022,FELONY,Plea
21-118,CRI,5/13/2021,00/00/0000,FELONY,
21-121,APCON,5/18/2021,6/26/2023,FELONY,Plea
21-122,CRI,5/19/2019,00/00/0000,FELONY,
21-128,APCON,5/24/2021,7/12/2021,FELONY,Plea
21-131,APCON,6/4/2021,8/18/2022,FELONY,Plea
21-137,APCON,6/17/2021,7/22/2021,FELONY,Plea
21-139,APCON,6/11/2021,2/2/2023,FELONY,Plea
21-141,APCON,6/15/2021,7/28/2021,FELONY,Plea
21-145,APCON,6/22/2021,11/29/2021,FELONY,Plea
21-148,APCON,6/23/2021,2/6/2023,FELONY,Plea
21-151,APCON,6/25/2021,2/7/2022,FELONY,Trial
21-152,APCON,6/28/2021,7/7/2021,FELONY,Plea
21-153,APCON,6/29/2021,8/19/2021,FELONY,Plea
21-154,APCON,6/29/2021,9/8/2022,FELONY,Plea
21-156,APCON,6/29/2021,12/19/2022,FELONY,Plea
21-160,APCON,7/6/2021,5/10/2023,FELONY,Plea
21-161,APCON,7/2/2021,8/19/2021,FELONY,Dismissal
21-162,APCON,7/8/2021,7/19/2021,FELONY,Other
21-163,APCON,7/9/2021,2/27/2024,FELONY,Plea
21-164,APCON,7/13/2021,8/19/2021,FELONY,Plea
21-165,APCON,7/13/2021,7/20/2022,FELONY,Dismissal
21-168,APCON,7/13/2021,6/2/2023,FELONY,Dismissal
21-170,APCON,7/14/2021,10/29/2021,FELONY,Plea
21-172,APCON,7/16/2021,12/16/2021,FELONY,Plea
21-174,APCON,7/19/2021,9/12/2022,FELONY,Dismissal
21-175,APCON,7/20/2021,3/1/2022,FELONY,Other
21-176,APCON,7/21/2021,8/5/2021,FELONY,Plea
21-178,CRI,7/19/2021,00/00/0000,FELONY,
21-180,APCON,7/23/2021,8/2/2022,FELONY,Dismissal
21-184,APCON,7/26/2021,12/7/2021,FELONY,Plea
21-190,APCON,7/29/2021,7/30/2021,FELONY,Other
21-191,APCON,7/30/2021,8/31/2021,FELONY,Plea
21-193,APCON,8/2/2021,11/14/2022,FELONY,Plea
21-194,APCON,8/3/2021,10/22/2021,FELONY,Plea
21-195,APCON,8/3/2021,9/20/2021,FELONY,Plea
21-196,APCON,8/3/2021,00/00/0000,FELONY,
21-201,APCON,8/12/2021,3/18/2022,FELONY,Plea
21-202,APCON,8/18/2021,9/23/2021,FELONY,Plea
21-203,APCON,8/17/2021,11/1/2021,FELONY,Dismissal
21-205,APCON,8/10/2021,9/9/2021,FELONY,Dismissal
21-208,APCON,8/24/2021,9/30/2021,FELONY,Plea
21-209,APCON,8/24/2021,9/30/2021,FELONY,Plea
21-210,APCON,8/24/2021,12/8/2021,FELONY,Plea
21-211,APCON,8/25/2021,10/20/2022,FELONY,Plea
21-217,APCON,9/2/2021,4/4/2022,FELONY,Plea
21-221,APCRPB,9/8/2021,1/27/2022,FELONY,Plea
21-222,APCON,9/15/2021,9/22/2022,FELONY,Plea
21-223,APCON,9/14/2021,10/22/2021,FELONY,Plea
21-225,APCON,9/20/2021,11/17/2022,FELONY,Plea
21-228,APCON,9/21/2021,10/1/2021,FELONY,Other
21-229,APCON,9/21/2021,10/12/2021,FELONY,Plea
21-233,APCON,9/27/2021,3/1/2022,FELONY,Plea
21-234,APCON,9/28/2021,9/19/2022,FELONY,Plea
21-237,APCON,9/28/2021,10/29/2021,FELONY,Plea
21-239,APCON,10/1/2021,3/10/2022,FELONY,Dismissal
21-241,APCON,10/5/2021,2/6/2023,FELONY,Plea
21-242,APCON,10/6/2021,10/28/2021,FELONY,Plea
21-249,APCON,10/12/2021,10/27/2022,FELONY,Plea
21-250,APCON,10/12/2021,1/13/2022,FELONY,Plea
21-251,APCON,10/12/2021,9/27/2022,FELONY,Plea
21-255,APCON,10/19/2021,2/9/2022,FELONY,Plea
21-256,APCON,10/19/2021,6/23/2022,FELONY,Plea
21-258,APCON,10/27/2021,00/00/0000,FELONY,
21-260,APCON,10/22/2021,9/1/2022,FELONY,Plea
21-262,APCON,10/26/2021,1/11/2022,FELONY,Plea
21-263,APCON,11/3/2021,12/14/2021,FELONY,Plea
21-265,APCON,11/4/2021,5/5/2022,FELONY,Plea
21-267,CRI-DUI,11/9/2021,00/00/0000,FELONY,
21-274,APCON,11/15/2021,8/2/2022,FELONY,Plea
21-275,APCON,11/16/2021,12/13/2021,FELONY,Other
21-276,APCON,11/18/2021,9/29/2022,FELONY,Plea
21-280,APCON,11/19/2021,11/17/2022,FELONY,Plea
21-281,APCON,11/22/2021,1/30/2023,FELONY,Plea
21-285,APCON,11/22/2021,7/18/2022,FELONY,Plea
21-286,APCON,11/29/2021,6/30/2022,FELONY,Dismissal
21-288,APCON,11/29/2021,6/30/2022,FELONY,Plea
21-289,APCON,11/23/2021,4/15/2022,FELONY,Plea
21-290,APCON,11/30/2021,5/17/2022,FELONY,Plea
21-291,APCON,12/1/2021,9/15/2022,FELONY,Dismissal
21-294,APCON,12/3/2021,1/11/2022,FELONY,Other
21-295,APCON,11/19/2021,11/14/2022,FELONY,Plea
21-297,APCON,12/6/2021,1/20/2022,FELONY,Plea
21-298,APCON,12/7/2021,7/18/2022,FELONY,Plea
21-299,APCON,12/7/2021,2/17/2022,FELONY,Plea
21-304,APCON,12/10/2021,7/21/2022,FELONY,Plea
21-307,APCON,12/13/2021,3/22/2024,FELONY,Dismissal
21-313,APCON,8/16/2021,11/29/2021,FELONY,Dismissal
21-314,APCON,12/16/2021,4/14/2022,FELONY,Plea
21-315,APCON,12/17/2021,2/24/2022,FELONY,Plea
22-001,APCON,1/4/2022,4/20/2023,FELONY,Plea
22-006,APCON,1/20/2022,1/25/2022,FELONY,Other
22-007,APCON,1/19/2022,9/19/2022,FELONY,Plea
22-008,APCON,1/25/2022,8/2/2022,FELONY,Plea
22-012,APCON,1/31/2022,8/25/2022,FELONY,Plea
22-014,APCON,2/3/2022,3/1/2022,FELONY,Other
22-015,APCON,2/3/2022,7/25/2022,FELONY,Trial
22-019,APCON,2/8/2022,3/28/2022,FELONY,Dismissal
22-021,APCON,2/10/2022,2/15/2022,FELONY,Other
22-032,APCON,2/15/2022,4/4/2022,FELONY,Plea
22-033,APCON,2/15/2022,4/18/2022,FELONY,Plea
22-034,APCON,2/15/2022,8/25/2022,FELONY,Plea
22-035,APCON,2/23/2022,4/15/2022,FELONY,Plea
22-037,APCON,12/6/2021,1/20/2022,FELONY,Plea
22-045,APCON,3/14/2022,00/00/0000,FELONY,
22-046,APCON,3/15/2022,5/2/2024,FELONY,Plea
22-047,APCON,3/15/2022,9/15/2022,FELONY,Plea
22-053,APCON,3/16/2022,10/17/2022,FELONY,Plea
22-055,APCON,3/18/2022,00/00/0000,FELONY,
22-056,APCON,3/23/2022,8/15/2022,FELONY,Plea
22-059,APCON,3/23/2022,9/13/2022,FELONY,Plea
22-060,APCON,3/24/2022,12/8/2022,FELONY,Plea
22-062,APCON,3/30/2022,10/16/2023,FELONY,Plea
22-063,APCON,3/29/2022,12/15/2022,FELONY,Plea
22-065,APCON,4/5/2022,5/16/2022,FELONY,Dismissal
22-066,APCON,4/5/2022,4/26/2022,FELONY,Plea
22-068,APCON,4/8/2022,2/14/2023,FELONY,Plea
22-070,APCON,4/12/2022,6/9/2022,FELONY,Plea
22-072,APCON,4/14/2022,9/14/2022,FELONY,Plea
22-073,APCON,4/14/2022,7/29/2022,FELONY,Dismissal
22-080,APCON,4/19/2022,12/11/2023,FELONY,Other
22-082,APCON,4/21/2022,5/2/2023,FELONY,Plea
22-083,APCON,4/22/2022,9/30/2022,FELONY,Plea
22-084,APCON,4/22/2022,6/30/2023,FELONY,Plea
22-085,APCON,4/22/2022,6/30/2022,FELONY,Plea
22-087,APCON,4/26/2022,10/12/2023,FELONY,Plea
22-091,APCON,4/29/2022,5/9/2022,FELONY,Dismissed
22-092,APCON,4/29/2022,5/9/2022,FELONY,Plea
22-093,APCON,4/29/2022,5/9/2022,FELONY,Plea
22-094,APCON,5/3/2022,8/9/2023,FELONY,Dismissal
22-095,APCON,5/3/2022,6/1/2023,FELONY,Plea
22-096,APCON,5/4/2022,8/18/2022,FELONY,Plea
22-097,APCON,5/6/2022,00/00/0000,FELONY,
22-099,APCON,5/6/2022,1/31/2023,FELONY,Plea
22-103,APCON,5/10/2022,8/11/2022,FELONY,Plea
22-114,APCON,5/16/2022,10/26/2022,FELONY,Plea
22-123,APCON,5/20/2022,9/8/2022,FELONY,Plea
22-125,APCON,5/23/2022,6/13/2022,FELONY,Other
22-133,APCON,5/31/2022,8/16/2022,FELONY,Plea
22-134,APCON,6/1/2022,9/22/2022,FELONY,Plea
22-135,CRI,5/31/2022,00/00/0000,FELONY,
22-137,APCON,6/6/2022,3/30/2023,FELONY,Plea
22-139,APCON,6/6/2022,2/2/2023,FELONY,Plea
22-142,APCON,6/9/2022,8/29/2023,FELONY,Plea
22-143,APCON,6/10/2022,3/2/2023,FELONY,Plea
22-148,APCON,6/21/2022,3/23/2023,FELONY,Plea
22-149,APCON,6/21/2022,10/9/2023,FELONY,Plea
22-150,APCON,6/21/2022,1/5/2023,FELONY,Plea
22-155,APCRPB,6/23/2022,8/18/2022,FELONY,Other
22-156,APCON,6/23/2022,7/25/2022,FELONY,Other
22-159,APCON,6/28/2022,8/17/2022,FELONY,Other
22-162,APCON,6/30/2022,7/25/2022,FELONY,Plea
22-165,APCON,7/6/2022,1/10/2023,FELONY,Plea
22-166,APCON,7/6/2022,8/26/2022,FELONY,Plea
22-169,APCON,7/11/2022,7/26/2022,FELONY,Plea
22-170,APCON,7/11/2022,11/3/2022,FELONY,Plea
22-175,APCON,7/19/2022,7/15/2024,FELONY,Plea
22-178,APCON,7/22/2022,11/3/2022,FELONY,Dismissal
22-180,APCON,7/22/2022,9/16/2022,FELONY,Other
22-181,APCON,7/22/2022,10/17/2022,FELONY,Plea
22-182,APCON,7/25/2022,10/18/2022,FELONY,Plea
22-183,APCON,7/27/2022,8/8/2022,FELONY,Plea
22-189,APCON,8/2/2022,9/29/2022,FELONY,Other
22-190,APCON,8/8/2022,12/12/2023,FELONY,Plea
22-193,APCON,8/11/2022,11/3/2022,FELONY,Plea
22-195,APCRPB,8/5/2022,8/25/2022,FELONY,Dismissal
22-196,APCON,8/12/2022,1/9/2023,FELONY,Plea
22-198,APCON,8/12/2022,8/31/2023,FELONY,Plea
22-200,APCON,8/15/2022,2/2/2023,FELONY,Plea
22-202,APCON,8/12/2022,9/8/2022,FELONY,Plea
22-207,APCON,8/16/2022,4/5/2023,FELONY,Plea
22-209,APCON,8/16/2022,4/30/2024,FELONY,Dismissal
22-211,APCON,8/23/2022,11/17/2022,FELONY,Plea
22-214,APCON,8/24/2022,9/20/2022,FELONY,Other
22-218,APCON,9/6/2022,6/1/2023,FELONY,Plea
22-226,APCON,9/7/2022,3/11/2024,FELONY,Plea
22-227,APCON,9/9/2022,5/5/2023,FELONY,Plea
22-231,APCON,9/13/2022,11/10/2022,FELONY,Plea
22-236,APCON,9/13/2022,11/13/2022,FELONY,Plea
22-238,APCON,9/16/2022,9/26/2022,FELONY,Plea
